tract,USP_2012,USS_2012,USC_2012,USP_2016,USS_2016,USC_2016,USP_CHANGE,USS_CHANGE,USC_CHANGE,POPDENSITY_2015,POPDENSITY_CHANGE,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOYMENT_2015,UNEMPLOYMENT_CHANGE,COLLEGE_2015,COLLEGE_CHANGE,INCOME_2015,INCOME_CHANGE
1400000US42001030101,0.445830086,0.43515625,0.554681353,0.520348837,0.488824802,0.601459854,0.074518751,0.053668552,0.046778501,122.3273415,-0.004235657,5.2,0.130434783,6.3,0.852941176,19.7,0.04787234,74667,0.055677304
1400000US42001030102,0.360099338,0.317651957,0.477838751,0.45683728,0.403287462,0.527173913,0.096737942,0.085635505,0.049335162,220.7570115,0.017516202,5.4,-0.169230769,5.9,-0.180555556,23.5,0.496815287,66806,0.071089591
1400000US42001030200,0.419403739,0.390481064,0.536560247,0.511120802,0.48580166,0.598575879,0.091717063,0.095320596,0.062015632,111.1158615,-0.080975954,17.9,0.169934641,7,0.320754717,12.6,0.06779661,51573,-0.016233023
1400000US42001030300,0.414072229,0.378835316,0.483972344,0.449180328,0.428961749,0.535991141,0.035108099,0.050126433,0.052018797,98.67902665,0.082909461,10.9,-0.362573099,5.7,0.14,16.8,-0.034482759,62757,0.190134835
1400000US42001030400,0.267944535,0.26674887,0.370463079,0.414486159,0.380735684,0.484344801,0.146541624,0.113986814,0.113881722,84.12924202,0.023847377,7.5,-0.342105263,3.8,0.310344828,22.7,0.247252747,60478,0.05741861
1400000US42001030500,0.367647059,0.332094176,0.476635514,0.434017595,0.420930233,0.549528302,0.066370536,0.088836057,0.072892788,152.5898842,0.021762786,16.4,0.205882353,6.9,0.38,18,0.022727273,54435,0.046042391
1400000US42001030600,0.203463203,0.188377724,0.321253673,0.263846489,0.251304348,0.38960462,0.060383286,0.062926624,0.068350947,143.9484503,0.004067521,12.4,-0.303370787,7.7,0.673913043,21.1,0.019323671,59286,-0.027524441
1400000US42001030700,0.286699108,0.223990208,0.373816385,0.429621463,0.383657017,0.518144407,0.142922355,0.159666809,0.144328022,209.5098477,-0.010982398,11.3,0.255555556,7.4,-0.168539326,15.5,0.107142857,59058,0.201953801
1400000US42001030800,0.344611529,0.295325332,0.430979644,0.481808159,0.422160665,0.54322726,0.13719663,0.126835333,0.112247616,317.3021311,-0.025017088,7.2,-0.172413793,5,0.020408163,15.8,0.161764706,63164,0.115006443
1400000US42001030900,0.231770833,0.209876543,0.325864033,0.337387964,0.298788265,0.417794971,0.105617131,0.088911722,0.091930938,774.6980796,0.083483317,15.1,0.348214286,4.6,-0.148148148,16.7,0.255639098,55773,0.148017784
1400000US42001031000,0.330760095,0.293413174,0.403636364,0.436061381,0.400765795,0.528562049,0.105301286,0.107352621,0.124925685,618.1700614,0.178065311,0.8,N/A,3.5,0.060606061,24.1,2.651515152,64356,0.090890599
1400000US42001031101,0.172209034,0.125453662,0.257554801,0.349074855,0.274783888,0.411466158,0.176865821,0.149330226,0.153911357,4245.478036,-0.069473287,8.4,1.333333333,4.7,0.382352941,13.3,0.156521739,44310,0.014934262
1400000US42001031102,0.303852525,0.270606088,0.392538717,0.4165395,0.381119039,0.507498447,0.112686975,0.110512951,0.11495973,502.0970641,0.108465608,7.1,7.875,2.2,-0.435897436,21.8,0.379746835,71711,-0.032775387
1400000US42001031201,0.298547606,0.26395664,0.366886689,0.326139089,0.306916427,0.431391905,0.027591483,0.042959787,0.064505216,141.5275748,0.013215859,6.6,3.714285714,6.8,0.942857143,40.3,0.404181185,70566,0.144994321
1400000US42001031202,0.454318937,0.450125733,0.504237288,0.587386018,0.528823982,0.652377241,0.133067081,0.078698249,0.148139953,248.8073394,0.022238975,0,-1,3.4,-0.128205128,23.3,0.33908046,75833,0.043568607
1400000US42001031203,0.464311994,0.459719143,0.536438768,0.556361239,0.494,0.617825793,0.092049245,0.034280857,0.081387025,180.2895577,0.006363347,2.5,-0.390243902,8.1,1.131578947,20.6,0.233532934,74000,0.111728738
1400000US42001031300,0.321123321,0.315757204,0.418284283,0.470706059,0.421976919,0.546487603,0.149582738,0.106219715,0.12820332,2955.422488,0.003161698,5.1,-0.227272727,5.3,0.325,17.8,0.227586207,55902,0.105481728
1400000US42001031401,0.13487134,0.096342551,0.218665464,0.114245416,0.143787808,0.251668255,-0.020625924,0.047445257,0.033002791,367.63935,0.02459216,14.5,0.330275229,3.7,0.027777778,29.9,-0.174033149,72580,0.278357052
1400000US42001031402,0.223662885,0.190243902,0.310945274,0.256779192,0.247666118,0.379932356,0.033116307,0.057422216,0.068987082,91.16549904,-0.016683023,4.7,-0.113207547,7.8,0.026315789,30.1,0.114814815,63500,0.164176368
1400000US42001031501,-0.281556409,-0.260995514,-0.176842723,-0.361903359,-0.268444009,-0.217488029,-0.08034695,-0.007448495,-0.040645306,5945.804196,-0.013344938,16,0.142857143,6.9,0.232142857,36.6,-0.297504798,42321,0.036441114
1400000US42001031502,-0.213974813,-0.193084516,-0.087101649,-0.228209026,-0.168821532,-0.107319225,-0.014234213,0.024262984,-0.020217576,3869.605142,-0.007536505,30.8,0.547738693,10.4,0.529411765,27.1,-0.14511041,33661,-0.193284762
