year,field,is_tt,rank,count
2011,all,all,all,138.0
2011,African / African Diaspora Art,all,all,3.0
2011,African / African Diaspora Art,unknown,all,1.0
2011,African / African Diaspora Art,unknown,unknown,1.0
2011,African / African Diaspora Art,unknown,assistant_prof,0.0
2011,African / African Diaspora Art,unknown,"assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,unknown,open_rank,0.0
2011,African / African Diaspora Art,unknown,lecturer,0.0
2011,African / African Diaspora Art,unknown,vap,0.0
2011,African / African Diaspora Art,unknown,full_prof,0.0
2011,African / African Diaspora Art,unknown,"associate_prof, full_prof",0.0
2011,African / African Diaspora Art,unknown,associate_prof,0.0
2011,African / African Diaspora Art,unknown,chair,0.0
2011,African / African Diaspora Art,unknown,"vap, lecturer",0.0
2011,African / African Diaspora Art,unknown,"vap, assistant_prof",0.0
2011,African / African Diaspora Art,unknown,"lecturer, assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,unknown,"lecturer, assistant_prof",0.0
2011,African / African Diaspora Art,TRUE,all,2.0
2011,African / African Diaspora Art,TRUE,unknown,0.0
2011,African / African Diaspora Art,TRUE,assistant_prof,2.0
2011,African / African Diaspora Art,TRUE,"assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,TRUE,open_rank,0.0
2011,African / African Diaspora Art,TRUE,lecturer,0.0
2011,African / African Diaspora Art,TRUE,vap,0.0
2011,African / African Diaspora Art,TRUE,full_prof,0.0
2011,African / African Diaspora Art,TRUE,"associate_prof, full_prof",0.0
2011,African / African Diaspora Art,TRUE,associate_prof,0.0
2011,African / African Diaspora Art,TRUE,chair,0.0
2011,African / African Diaspora Art,TRUE,"vap, lecturer",0.0
2011,African / African Diaspora Art,TRUE,"vap, assistant_prof",0.0
2011,African / African Diaspora Art,TRUE,"lecturer, assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,TRUE,"lecturer, assistant_prof",0.0
2011,African / African Diaspora Art,FALSE,all,0.0
2011,African / African Diaspora Art,FALSE,unknown,0.0
2011,African / African Diaspora Art,FALSE,assistant_prof,0.0
2011,African / African Diaspora Art,FALSE,"assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,FALSE,open_rank,0.0
2011,African / African Diaspora Art,FALSE,lecturer,0.0
2011,African / African Diaspora Art,FALSE,vap,0.0
2011,African / African Diaspora Art,FALSE,full_prof,0.0
2011,African / African Diaspora Art,FALSE,"associate_prof, full_prof",0.0
2011,African / African Diaspora Art,FALSE,associate_prof,0.0
2011,African / African Diaspora Art,FALSE,chair,0.0
2011,African / African Diaspora Art,FALSE,"vap, lecturer",0.0
2011,African / African Diaspora Art,FALSE,"vap, assistant_prof",0.0
2011,African / African Diaspora Art,FALSE,"lecturer, assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,FALSE,"lecturer, assistant_prof",0.0
2011,African / African Diaspora Art,all,unknown,1.0
2011,African / African Diaspora Art,all,assistant_prof,2.0
2011,African / African Diaspora Art,all,"assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,all,open_rank,0.0
2011,African / African Diaspora Art,all,lecturer,0.0
2011,African / African Diaspora Art,all,vap,0.0
2011,African / African Diaspora Art,all,full_prof,0.0
2011,African / African Diaspora Art,all,"associate_prof, full_prof",0.0
2011,African / African Diaspora Art,all,associate_prof,0.0
2011,African / African Diaspora Art,all,chair,0.0
2011,African / African Diaspora Art,all,"vap, lecturer",0.0
2011,African / African Diaspora Art,all,"vap, assistant_prof",0.0
2011,African / African Diaspora Art,all,"lecturer, assistant_prof, associate_prof",0.0
2011,African / African Diaspora Art,all,"lecturer, assistant_prof",0.0
2011,Ancient Art,all,all,5.0
2011,Ancient Art,unknown,all,0.0
2011,Ancient Art,unknown,unknown,0.0
2011,Ancient Art,unknown,assistant_prof,0.0
2011,Ancient Art,unknown,"assistant_prof, associate_prof",0.0
2011,Ancient Art,unknown,open_rank,0.0
2011,Ancient Art,unknown,lecturer,0.0
2011,Ancient Art,unknown,vap,0.0
2011,Ancient Art,unknown,full_prof,0.0
2011,Ancient Art,unknown,"associate_prof, full_prof",0.0
2011,Ancient Art,unknown,associate_prof,0.0
2011,Ancient Art,unknown,chair,0.0
2011,Ancient Art,unknown,"vap, lecturer",0.0
2011,Ancient Art,unknown,"vap, assistant_prof",0.0
2011,Ancient Art,unknown,"lecturer, assistant_prof, associate_prof",0.0
2011,Ancient Art,unknown,"lecturer, assistant_prof",0.0
2011,Ancient Art,TRUE,all,5.0
2011,Ancient Art,TRUE,unknown,0.0
2011,Ancient Art,TRUE,assistant_prof,3.0
2011,Ancient Art,TRUE,"assistant_prof, associate_prof",2.0
2011,Ancient Art,TRUE,open_rank,0.0
2011,Ancient Art,TRUE,lecturer,0.0
2011,Ancient Art,TRUE,vap,0.0
2011,Ancient Art,TRUE,full_prof,0.0
2011,Ancient Art,TRUE,"associate_prof, full_prof",0.0
2011,Ancient Art,TRUE,associate_prof,0.0
2011,Ancient Art,TRUE,chair,0.0
2011,Ancient Art,TRUE,"vap, lecturer",0.0
2011,Ancient Art,TRUE,"vap, assistant_prof",0.0
2011,Ancient Art,TRUE,"lecturer, assistant_prof, associate_prof",0.0
2011,Ancient Art,TRUE,"lecturer, assistant_prof",0.0
2011,Ancient Art,FALSE,all,0.0
2011,Ancient Art,FALSE,unknown,0.0
2011,Ancient Art,FALSE,assistant_prof,0.0
2011,Ancient Art,FALSE,"assistant_prof, associate_prof",0.0
2011,Ancient Art,FALSE,open_rank,0.0
2011,Ancient Art,FALSE,lecturer,0.0
2011,Ancient Art,FALSE,vap,0.0
2011,Ancient Art,FALSE,full_prof,0.0
2011,Ancient Art,FALSE,"associate_prof, full_prof",0.0
2011,Ancient Art,FALSE,associate_prof,0.0
2011,Ancient Art,FALSE,chair,0.0
2011,Ancient Art,FALSE,"vap, lecturer",0.0
2011,Ancient Art,FALSE,"vap, assistant_prof",0.0
2011,Ancient Art,FALSE,"lecturer, assistant_prof, associate_prof",0.0
2011,Ancient Art,FALSE,"lecturer, assistant_prof",0.0
2011,Ancient Art,all,unknown,0.0
2011,Ancient Art,all,assistant_prof,3.0
2011,Ancient Art,all,"assistant_prof, associate_prof",2.0
2011,Ancient Art,all,open_rank,0.0
2011,Ancient Art,all,lecturer,0.0
2011,Ancient Art,all,vap,0.0
2011,Ancient Art,all,full_prof,0.0
2011,Ancient Art,all,"associate_prof, full_prof",0.0
2011,Ancient Art,all,associate_prof,0.0
2011,Ancient Art,all,chair,0.0
2011,Ancient Art,all,"vap, lecturer",0.0
2011,Ancient Art,all,"vap, assistant_prof",0.0
2011,Ancient Art,all,"lecturer, assistant_prof, associate_prof",0.0
2011,Ancient Art,all,"lecturer, assistant_prof",0.0
2011,Architecture,all,all,3.0
2011,Architecture,unknown,all,0.0
2011,Architecture,unknown,unknown,0.0
2011,Architecture,unknown,assistant_prof,0.0
2011,Architecture,unknown,"assistant_prof, associate_prof",0.0
2011,Architecture,unknown,open_rank,0.0
2011,Architecture,unknown,lecturer,0.0
2011,Architecture,unknown,vap,0.0
2011,Architecture,unknown,full_prof,0.0
2011,Architecture,unknown,"associate_prof, full_prof",0.0
2011,Architecture,unknown,associate_prof,0.0
2011,Architecture,unknown,chair,0.0
2011,Architecture,unknown,"vap, lecturer",0.0
2011,Architecture,unknown,"vap, assistant_prof",0.0
2011,Architecture,unknown,"lecturer, assistant_prof, associate_prof",0.0
2011,Architecture,unknown,"lecturer, assistant_prof",0.0
2011,Architecture,TRUE,all,3.0
2011,Architecture,TRUE,unknown,1.0
